time,vehicle_count,avg_speed,speed_std,avg_acceleration,acc_std,avg_co2,avg_fuel,sudden_brake_count,CS,RS,ES,TIS
0,1,0.0,0.0,0.0,0.0,1521.0,493.1,0,1.9199038355319684e-05,0.0,0.0,7.679615342127874e-06
1,2,0.8329802285181358,1.1780119363589876,0.8329802285181358,1.1780119363589876,2305.0787421051155,747.2594180829897,0,0.0004389396412090597,0.04368844435205974,0.1912430037113629,0.07065501027551041
2,3,1.9651470082812008,1.8071063807444367,1.4098268559357772,1.241558148902039,3114.469067061568,1009.640123245798,0,7.334483032399734e-05,0.04604515661004593,0.3886627470327732,0.13044170902497532
3,4,2.891490906180115,2.2918360478071467,1.4176306499692146,1.0194154206980426,3333.6044660641296,1080.6843797674453,0,0.00014764515953844069,0.0378066405816332,0.44211370950589585,0.14403516309007408
4,5,3.900789909684099,2.8642044905084907,1.587597184740007,0.9567639069763836,3850.954818849202,1248.4023642159348,0,0.00011245157128417564,0.0354831096509866,0.5683029901391164,0.18118081056554458
5,6,5.007932135218289,3.5660248915403168,1.7572738771482062,0.9043733559684688,4529.809384416564,1468.4777283020003,0,1.3117184668943415e-05,0.033540122825778805,0.7338854802315811,0.23023292779107551
6,7,5.888198731789765,4.27248193336931,1.595685473031231,0.7929625716631942,4633.268329768456,1502.0227173040298,0,9.396637985899234e-05,0.029408276874043862,0.7591215435268958,0.23659653267222547
7,8,7.033482079883106,4.924625210636862,1.8813081895670616,0.8558362477800696,5620.825384666347,1822.1694770514996,0,0.0,0.031740047050101285,1.0,0.3095220141150304
8,9,7.470837492647607,5.4867442693613295,1.2188534216404028,1.148862628495774,4368.12430361837,1416.0687838603849,0,0.00030696113738739765,0.04260739595587865,0.6944494567510922,0.2212398402670462
9,10,8.051195526725358,5.971652432987036,1.3274417833425107,0.7736446249011683,4893.169199351005,1586.2827098973498,0,0.0005020817468521675,0.028691840124924515,0.8225158200679169,0.25556313075659326
10,11,8.030714491046588,5.645320484303138,0.7114458303871707,1.6371758273163903,3698.178536277611,1198.8870974421409,1,0.001023716406848465,0.09780385565057541,0.5310409774278636,0.1890629364862711
11,12,7.900415329033252,5.282084096501203,0.5389270455738812,1.8962326837899648,3204.435158467275,1038.8209681088067,1,0.0016234197113734906,0.10741139077712634,0.41060955928527915,0.15605565290327103
12,13,7.748971645107543,5.158194945373431,0.456280572153771,2.1219705152938078,3676.6590763478544,1191.9085975602077,2,0.002257445311457139,0.1528698257802425,0.5257916660048989,0.20450142566012527
13,14,7.636980021936308,5.557554858351004,0.4415063514793039,2.024827231717809,3839.752339674065,1244.781558780698,1,0.0028795437640966397,0.11218052390534268,0.5655725477584947,0.20447773900478988
14,15,7.812083244047915,5.55669803596787,0.6842352235740272,1.662646985477433,3756.639549113269,1217.8359281365645,0,0.0032539194484418666,0.06166190516427404,0.5452998359067672,0.18339009010068913
15,16,7.951919350315108,6.055458488965918,0.6280913090201878,1.9798117381072904,4396.043592720978,1425.1168386850254,2,0.0036460155256560264,0.14759764165835143,0.7012588249317006,0.256115346187278
16,17,8.582009344370476,6.774999898801806,1.0978499558386094,1.490867131040219,5323.051375993055,1725.6375552209838,1,0.0035853569421101924,0.09237776518561766,0.9273690243507425,0.30735817963775214
17,18,8.85054965932252,6.389033943972417,0.7453186118615153,1.8006686056229992,4000.6541606544406,1296.942668989804,1,0.0038301971203636765,0.10386724510067621,0.6048186441771058,0.21413784563148008
18,19,8.675011352899292,5.692869825163122,0.2902800966990109,2.0580049737542865,3541.214169249836,1148.0029167662442,2,0.004459042985645068,0.15049756204016854,0.492755368109966,0.1947594962392984
19,20,8.53914823116591,5.577920107649941,0.2978874459115826,2.316785988291973,3948.9291598234777,1280.1738886649146,4,0.005070791749701071,0.2342680448437029,0.5922021203908672,0.24996936627025146
20,21,8.238596939754691,5.832722958098338,0.1060748148347748,2.2507715951811185,3731.937718579162,1209.8306711230823,3,0.0058836045124237195,0.1947332073310499,0.5392752050416117,0.22255596551676798
21,22,8.109997627841981,5.953648783055514,0.2458823671670497,2.214619726971399,3853.236240451144,1249.151875348791,3,0.006537067785318358,0.19339245785835354,0.5688612865902359,0.23129095044870418
22,23,8.203194169869526,6.195194599199056,0.4458051345424132,1.7929367747458318,3755.07369526945,1217.328771270621,1,0.006924948919619184,0.10358049786782499,0.5449179882632661,0.19731952540717498
23,24,8.77269624371932,6.566496541980047,0.911301830927691,1.4819666312429316,4759.534433288451,1542.9570962564749,1,0.006725438872581565,0.09204767600901628,0.7899197974498929,0.2672804175867054
24,25,9.195166919369766,6.985691248860372,0.7733785253992207,1.4939058462398702,4304.353107866809,1395.393956698559,1,0.006708489463418756,0.09249046076687978,0.6788945371837855,0.23409889517056706
25,26,10.037492924468202,7.130782902106473,1.19598627122804,1.113685574570881,5194.384784779717,1683.926753010399,0,0.006263801671697986,0.041302799019775314,0.895985584854548,0.2836920358309762
26,27,10.74713860326965,7.215931959620458,1.0814046760039766,1.095157432723579,4883.2602710196,1583.0698512735323,0,0.006000423600747822,0.04061565344080535,0.8200987927926696,0.26061450331034164
27,28,10.988326109706405,7.095297263456659,0.6250138851249523,1.686588860150685,4201.700418089982,1362.1218144008585,2,0.006171662812928845,0.13672300534018927,0.653857244044622,0.2396427399406149
28,29,10.65840243154084,6.950707648142791,0.0489841187208638,2.2268909391618927,3807.102924954107,1234.1968476424404,5,0.006871255587599996,0.2680207329730851,0.5576088411553177,0.25043737447356085
29,30,10.184896864586689,6.875705311184066,-0.1182254859027891,2.513644477798972,3956.503439054112,1282.630963018236,8,0.007768196108235117,0.389915210133903,0.594049891224429,0.2982968088507936
30,31,10.040402618833747,6.860095876204356,0.1840508143950172,2.252771931882735,4251.023426410919,1378.1083304634508,4,0.008347142007596849,0.23189398185260232,0.6658872291607572,0.2726732201070466
